ID,Generator,Status,Result Status,Proxy Role,Keep SR,Has SR,Optimal,Rating,CPOR,PERMI_37,PERMI_38,PERMJ_37,PERMJ_38,PERMK_37,PERMK_38,POR_38,PRPOR,POR_37,GAS_MASS_INJ,GAS_MASS_PRD,WBP_INJ,WBP_PRD,WBT_INJ,WBT_PRD,Execution Node,Derived Case Name,MCMC Count,Comment
0,Reuse,Reused,NormalTermination,Ignore,Yes,TRUE,FALSE,0,3.40E-05,1100,1100,1100,1100,1100,1100,0.345,8269.83,0.345,0,0,22451.402,22365.5,25,90.030838,,,0,
1,LatinHyperCube,Complete,NormalTermination,Training,Auto,TRUE,TRUE,0,5.07E-06,1103.8241,1406.3098,1275.1434,314.14914,560.42065,1042.2562,0.31969407,7978.9675,0.31625239,0,0,22573.381,22486.627,25,89.618935,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00001,0,
2,LatinHyperCube,Complete,NormalTermination,Training,Auto,TRUE,TRUE,0,8.14E-06,945.8891,1202.8681,943.21224,1390.2486,616.6348,442.63862,0.13728489,8992.3518,0.33690249,0,0,22446.729,22360.158,25,89.847229,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00002,0,
3,LatinHyperCube,Complete,NormalTermination,Training,Auto,TRUE,TRUE,0,5.05E-06,100,450.66922,1114.5315,812.04589,539.00574,271.31931,0.17284895,1267.6864,0.2250478,0,0,22655.471,22571.221,25,85.131233,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00003,0,
4,LatinHyperCube,Complete,NormalTermination,Training,Auto,TRUE,TRUE,0,7.30E-06,308.79541,166.92161,753.15488,1240.3442,536.32887,1457.1702,0.10286807,2376.673,0.31739962,0,0,22776.184,22695.479,25,84.641945,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00004,0,
5,LatinHyperCube,Complete,NormalTermination,Training,Auto,TRUE,TRUE,0,6.64E-06,453.34608,745.12428,1438.4321,1280.4971,667.49522,351.62524,0.34435946,9814.5315,0.25258126,0,0,22505.975,22419.889,25,87.336761,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00005,0,
6,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,7.72E-06,870.9369,1379.5411,613.95793,1055.6405,182.98279,1296.5583,0.3707457,7271.5105,0.25315488,0,0,22400.004,22314.162,25,90.951271,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00006,0,
7,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,3.72E-06,868.26004,1205.5449,351.62524,881.64436,335.56405,1060.9943,0.29674952,9680.6883,0.30363289,0,0,22240.467,22161.336,25,91.686295,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00007,0,
8,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,6.76E-06,174.9522,1264.4359,814.72275,750.47801,477.43786,1494.6463,0.32256214,7386.2333,0.12122371,0,0,22291.775,22206.018,25,89.552727,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00008,0,
9,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,5.20E-06,1435.7553,153.53728,830.78394,613.95793,1371.5105,696.94073,0.35353728,1344.1683,0.21300191,0,0,22804.115,22718.072,25,89.054512,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00009,0,
